Lot,Action,CurrentBid,MaxBid,Headroom,SoldMedian,SoldCount,Gun,MatchNote
196,BID,325,553.35,228.35,952.5,176,"Remington Model 700 Rifle","auto: REMINGTON 700 .22-250 REM. (Used, score 85) - 176 sold, 17 asking"
197,NO COMPS,250,,,,,"Norinco SKS 7.62x39mm Rifle","no catalog match for this manufacturer/model"
198,NO COMPS,225,,,,,"Taurus G2C .40 S&W Pistol","no catalog match for this manufacturer/model"
199,PASS,85,46.26,-38.74,135,405,"Taurus G2C 9mm Pistol","auto: TAURUS G2C 9MM LUGER (Used, score 75) - 405 sold, 248 asking"
200,NO COMPS,100,,,,,"Sarsilmaz CM9 9x19 Pistol with Hilight P20GL Light/Laser","no catalog match for this manufacturer/model"
201,NO COMPS,85,,,,,"CZ V20R70 7.65 Cal Semi Auto Pistol","no catalog match for this manufacturer/model"
202,NO COMPS,100,,,,,"Ruger P9S 9mm x 19 Pistol","no catalog match for this manufacturer/model"
203,PASS,200,149.43,-50.57,280,127,"Taurus 605 Protector Poly 357 Mag Revolver","auto: TAURUS 605 .357 MAG. (Used, score 95) - 127 sold, 382 asking"
204,PASS,225,149.43,-75.57,299,13,"American Tactical Omni Hybrid 300 BLK Pistol","auto: AMERICAN TACTICAL (ATI) OMNI HYBRID MAXX PISTOL .300 AAC BLACKOUT (7.62X35MM) (Used, score 80) - 13 sold, 0 asking"
205,NO COMPS,125,,,,,"Charles Daly Defense 12 Gauge Shotgun","no catalog match for this manufacturer/model"
206,PASS,150,113.72,-36.28,252.5,108,"Mossberg Model 835 12-Gauge Shotgun","auto: MOSSBERG 835 ULTI-MAG 12 GAUGE (Used, score 95) - 108 sold, 47 asking"
207,PASS,175,81.78,-93.22,192,24,"Savage Mark II 22LR Rifle with Scope","auto: SAVAGE MARK II F STAINLESS .22 LR (New, score 69) - 24 sold, 371 asking"
208,NO COMPS,150,,,,,"CAI M53 7.62x54R Rifle","no catalog match for this manufacturer/model"
209,NO COMPS,70,,,,,"7.62x25 Tokarev Pistol","no catalog match for this manufacturer/model"
210,NO COMPS,150,,,,,"EAA Witness 45 Acp Pistol","no catalog match for this manufacturer/model"
211,NO COMPS,65,,,,,"Stoeger Llama 9mm Para Pistol","no catalog match for this manufacturer/model"
212,BID,80,197.05,117.05,350,117,"Sig Sauer SP2022 9mm Pistol","auto: SIG SAUER SP2022 9MM LUGER (Used, score 69) - 117 sold, 0 asking"
213,NO COMPS,100,,,,,"American Tactical Titan LW 45 ACP Pistol","no catalog match for this manufacturer/model"
214,NO COMPS,125,,,,,"Stoeger Llama 38 SPL Revolver","no catalog match for this manufacturer/model"
215,BID,125,169.27,44.27,360,89,"Ithaca Model 37 12-Gauge Shotgun","auto: ITHACA GUN CO. 37 12 GAUGE (Used, score 95) - 89 sold, 3 asking"
216,PASS,325,308.99,-16.01,525,42,"Winchester Model 62A Pump-Action 22 Rimfire Rifle","auto: WINCHESTER 62 .22 LR (Used, score 85) - 42 sold, 2 asking"
217,NO COMPS,75,,,,,"JC Higgins Model 103.228 22 Cal Bolt-Action Rifle with Scope","no catalog match for this manufacturer/model"
218,NO COMPS,65,,,,,"Revelation Model 350A Break-Action 20-Gauge Single-Shot Shotgun","no catalog match for this manufacturer/model"
219,NO COMPS,65,,,,,"Iver Johnson Champion 12-Gauge Single-Shot Break-Action Shotgun","no catalog match for this manufacturer/model"
220,BID,175,193.08,18.08,339,227,"Smith & Wesson Model 642 Lady Smith 38 SPL Revolver","auto: SMITH & WESSON 642 .38 SPL. (Used, score 95) - 227 sold, 549 asking"
221,PASS,200,193.08,-6.92,339,227,"Smith & Wesson Model 642-2 38 SPL Revolver","auto: SMITH & WESSON 642 .38 SPL. (Used, score 95) - 227 sold, 549 asking"
222,BID,200,248.63,48.63,450,133,"Smith & Wesson 64-2 38 SPL Revolver","auto: SMITH & WESSON 64 .38 SPL. (Used, score 95) - 133 sold, 5 asking"
223,NO COMPS,65,,,,,"Smith & Wesson 32 Revolver","no catalog match for this manufacturer/model"
225,NO COMPS,70,,,,,"Iver Johnson TP22 22LR Pistol","no catalog match for this manufacturer/model"
226,NO COMPS,85,,,,,"Charter Arms Undercover 38 SPL Revolver","no catalog match for this manufacturer/model"
227,NO COMPS,90,,,,,"Charter Arms Undercover 38 SPL Revolver","no catalog match for this manufacturer/model"
228,NO COMPS,55,,,,,"INA Tiger .32 Revolver","no catalog match for this manufacturer/model"
229,NO COMPS,250,,,,,"Just Right Carbine JR Carbine GEN 2 9mm Rifle","no catalog match for this manufacturer/model"
230,NO COMPS,80,,,,,"SS Kresge Model 151 Single-Shot 410 Shotgun","no catalog match for this manufacturer/model"
231,PASS,400,356.81,-43.19,630,235,"Remington Model 1100 12-Gauge Shotgun","auto: REMINGTON 1100 12 GAUGE (Used, score 95) - 235 sold, 38 asking"
