Lot,Label,Category,Bid,MaxBid,Headroom,Verdict,SoldCount,P25,Median,Net,MatchNote,Error
125,"Stevens 59A .410",handgun,275,,,,0,,,,"no catalog match for this manufacturer/model",""
126,"Iver Johnson US .22 LR",handgun,150,,,,0,,,,"no catalog match for this manufacturer/model",""
150,"Colt CVA Dragoon Style .44 Black Powder",handgun,125,,,,0,,,,"no catalog match for this manufacturer/model",""
151,"Ruger LCP - .380 ACP",handgun,100,,,,0,,,,"no catalog match for this manufacturer/model",""
154,"Sig Sauer P320 -",handgun,175,,,,0,,,,"no catalog match for this manufacturer/model",""
157,"Taurus Firearms G2C - 9mm",handgun,150,,,,0,,,,"no catalog match for this manufacturer/model",""
163,"Springfield Armoty XD-9 9mm",handgun,125,,,,0,,,,"no catalog match for this manufacturer/model",""
165,"Taurus PT140 G2A .40 S&W",handgun,100,,,,0,,,,"no catalog match for this manufacturer/model",""
175,"Colt Firearms Trooper",handgun,175,,,,0,,,,"no catalog match for this manufacturer/model",""
176,"Browning A-500G - 12ga",handgun,300,,,,0,,,,"no catalog match for this manufacturer/model",""
197,"Norinco SKS 7.62x39mm",handgun,250,,,,0,,,,"no catalog match for this manufacturer/model",""
198,"Taurus G2C . .40 S&W",handgun,225,,,,0,,,,"no catalog match for this manufacturer/model",""
201,"Cz V20R70 7.65",handgun,65,,,,0,,,,"no catalog match for this manufacturer/model",""
202,"Ruger P9S x 19 9mm",handgun,95,,,,0,,,,"no catalog match for this manufacturer/model",""
211,"Stoeger Llama Para 9mm",handgun,65,,,,0,,,,"no catalog match for this manufacturer/model",""
214,"Stoeger Llama .38 Special",handgun,100,,,,0,,,,"no catalog match for this manufacturer/model",""
219,"Iver Johnson Champion Single-Shot Break-Action 12ga",handgun,65,,,,0,,,,"no catalog match for this manufacturer/model",""
223,"Smith & Wesson 32",handgun,65,,,,0,,,,"no catalog match for this manufacturer/model",""
225,"Iver Johnson TP22 .22 LR",handgun,50,,,,0,,,,"no catalog match for this manufacturer/model",""
336,"Beretta (4) Magazines 9mm",handgun,7,,,,0,,,,"no catalog match for this manufacturer/model",""
338,"Taurus Lot - Magazines 9mm",handgun,45,,,,0,,,,"no catalog match for this manufacturer/model",""
341,"Glock (3) .45 Magazines",handgun,16,,,,0,,,,"no catalog match for this manufacturer/model",""
402,"Remington (2) Express Buckshot 2-3/4in, Qty: 5/ 20ga",handgun,11,,,,0,,,,"no catalog match for this manufacturer/model",""
